Time, roll, rollr,motor right,motor left,msn1,msn2
0.015076,0.000234,0.017028,0.000000,0.000000,0.000000,0.000000
0.024387,0.000521,0.020220,0.000000,0.000000,0.000000,0.000000
0.034178,0.000822,0.020220,0.000000,0.000000,0.000000,0.000000
0.045481,0.001009,0.014899,0.000000,0.000000,0.000000,0.000000
0.054205,0.001195,0.014899,0.000000,0.000000,0.000000,0.000000
0.064427,0.001333,0.017028,0.000000,0.000000,0.000000,0.000000
0.075283,0.001541,0.018092,0.000000,0.000000,0.000000,0.000000
0.084994,0.001782,0.018092,0.000000,0.000000,0.000000,0.000000
0.097180,0.001979,0.017028,0.000000,0.000000,0.000000,0.000000
0.107106,0.002213,0.018092,0.000000,0.000000,0.000000,0.000000
0.117244,0.002357,0.020220,0.000000,0.000000,0.000000,0.000000
0.127916,0.002519,0.018092,0.000000,0.000000,0.000000,0.000000
0.141164,0.002803,0.019156,0.000000,0.000000,0.000000,0.000000
0.152040,0.003043,0.015963,0.000000,0.000000,0.000000,0.000000
0.161954,0.003335,0.021284,0.000000,0.000000,0.000000,0.000000
0.171958,0.003570,0.018092,0.000000,0.000000,0.000000,0.000000
0.184096,0.003796,0.019156,0.000000,0.000000,0.000000,0.000000
0.194199,0.003954,0.018092,0.000000,0.000000,0.000000,0.000000
0.204885,0.004195,0.018092,0.000000,0.000000,0.000000,0.000000
0.214486,0.004384,0.020220,0.000000,0.000000,0.000000,0.000000
0.224818,0.004597,0.020220,0.000000,0.000000,0.000000,0.000000
0.235071,0.004811,0.021284,0.000000,0.000000,0.000000,0.000000
0.274332,0.005065,0.022349,0.000000,0.000000,0.000000,0.000000
0.284837,0.005372,0.023413,0.000000,0.000000,0.000000,0.000000
0.296694,0.005487,0.018092,0.000000,0.000000,0.000000,0.000000
0.307141,0.005594,0.018092,0.000000,0.000000,0.000000,0.000000
0.317781,0.005733,0.014899,0.000000,0.000000,0.000000,0.000000
0.327428,0.006009,0.019156,0.000000,0.000000,0.000000,0.000000
0.338075,0.006169,0.020220,0.000000,0.000000,0.000000,0.000000
0.347973,0.006296,0.018092,0.000000,0.000000,0.000000,0.000000
0.358104,0.006493,0.019156,0.000000,0.000000,0.000000,0.000000
0.368776,0.006684,0.020220,0.000000,0.000000,0.000000,0.000000
0.380441,0.006911,0.020220,0.000000,0.000000,0.000000,0.000000
0.390820,0.007094,0.020220,0.000000,0.000000,0.000000,0.000000
0.400507,0.007181,0.013835,0.000000,0.000000,0.000000,0.000000
0.410765,0.007279,0.017028,0.000000,0.000000,0.000000,0.000000
0.421233,0.007410,0.017028,0.000000,0.000000,0.000000,0.000000
0.431193,0.007553,0.018092,0.000000,0.000000,0.000000,0.000000
0.441713,0.007676,0.018092,0.000000,0.000000,0.000000,0.000000
0.451575,0.007777,0.015963,0.000000,0.000000,0.000000,0.000000
