Time, roll, rollr,motor right,motor left,msn1,msn2
0.014650,0.000176,0.021284,0.000000,0.000000,0.000000,0.000000
0.024241,0.000265,0.020220,0.000000,0.000000,0.000000,0.000000
0.034158,0.000184,0.019156,0.000000,0.000000,0.000000,0.000000
0.045242,0.000172,0.019156,0.000000,0.000000,0.000000,0.000000
0.054419,0.000267,0.021284,0.000000,0.000000,0.000000,0.000000
0.064751,0.000462,0.025541,0.000000,0.000000,0.000000,0.000000
0.075508,0.000613,0.018092,0.000000,0.000000,0.000000,0.000000
0.085153,0.000648,0.013835,0.000000,0.000000,0.000000,0.000000
0.097126,0.000866,0.017028,0.000000,0.000000,0.000000,0.000000
0.106915,0.001169,0.020220,0.000000,0.000000,0.000000,0.000000
0.117255,0.001218,0.020220,0.000000,0.000000,0.000000,0.000000
0.127806,0.001276,0.014899,0.000000,0.000000,0.000000,0.000000
0.137607,0.001264,0.014899,0.000000,0.000000,0.000000,0.000000
0.148121,0.000984,0.018092,0.000000,0.000000,0.000000,0.000000
0.157782,0.000960,0.015963,0.000000,0.000000,0.000000,0.000000
0.167867,0.000963,0.015963,0.000000,0.000000,0.000000,0.000000
0.179667,0.001041,0.012771,0.000000,0.000000,0.000000,0.000000
0.189700,0.001293,0.018092,0.000000,0.000000,0.000000,0.000000
0.200277,0.001427,0.018092,0.000000,0.000000,0.000000,0.000000
0.210141,0.001429,0.017028,0.000000,0.000000,0.000000,0.000000
0.220213,0.001170,0.014899,0.000000,0.000000,0.000000,0.000000
0.230840,0.000946,0.018092,0.000000,0.000000,0.000000,0.000000
0.240371,0.000961,0.018092,0.000000,0.000000,0.000000,0.000000
0.251026,0.000994,0.020220,0.000000,0.000000,0.000000,0.000000
0.262626,0.000822,0.022349,0.000000,0.000000,0.000000,0.000000
0.294800,0.000723,0.017028,0.000000,0.000000,0.000000,0.000000
0.305663,0.000919,0.023413,0.000000,0.000000,0.000000,0.000000
0.315104,0.000765,0.018092,0.000000,0.000000,0.000000,0.000000
0.325697,0.000753,0.017028,0.000000,0.000000,0.000000,0.000000
0.335279,0.000779,0.018092,0.000000,0.000000,0.000000,0.000000
0.345583,0.000952,0.017028,0.000000,0.000000,0.000000,0.000000
0.356479,0.001110,0.020220,0.000000,0.000000,0.000000,0.000000
0.368239,0.001268,0.020220,0.000000,0.000000,0.000000,0.000000
0.378864,0.001185,0.015963,0.000000,0.000000,0.000000,0.000000
0.388537,0.001257,0.018092,0.000000,0.000000,0.000000,0.000000
0.398600,0.001415,0.019156,0.000000,0.000000,0.000000,0.000000
0.409029,0.001476,0.020220,0.000000,0.000000,0.000000,0.000000
0.418814,0.001291,0.015963,0.000000,0.000000,0.000000,0.000000
0.429637,0.001200,0.013835,0.000000,0.000000,0.000000,0.000000
0.439375,0.001274,0.022349,0.000000,0.000000,0.000000,0.000000
0.451070,0.001346,0.019156,0.000000,0.000000,0.000000,0.000000
0.461409,0.001191,0.022349,0.000000,0.000000,0.000000,0.000000
0.471175,0.001107,0.015963,0.000000,0.000000,0.000000,0.000000
0.481591,0.001206,0.021284,0.000000,0.000000,0.000000,0.000000
0.491338,0.001274,0.020220,0.000000,0.000000,0.000000,0.000000
0.501416,0.001169,0.019156,0.000000,0.000000,0.000000,0.000000
0.511884,0.001244,0.018092,0.000000,0.000000,0.000000,0.000000
0.521782,0.001366,0.018092,0.000000,0.000000,0.000000,0.000000
0.533782,0.001363,0.020220,0.000000,0.000000,0.000000,0.000000
0.543687,0.001379,0.020220,0.000000,0.000000,0.000000,0.000000
0.553758,0.001479,0.019156,0.000000,0.000000,0.000000,0.000000
0.564404,0.001547,0.014899,0.000000,0.000000,0.000000,0.000000
0.574100,0.001546,0.019156,0.000000,0.000000,0.000000,0.000000
0.584607,0.001623,0.022349,0.000000,0.000000,0.000000,0.000000
0.594451,0.001775,0.018092,0.000000,0.000000,0.000000,0.000000
0.604690,0.001836,0.019156,0.000000,0.000000,0.000000,0.000000
0.615180,0.001625,0.018092,0.000000,0.000000,0.000000,0.000000
0.627354,0.001675,0.017028,0.000000,0.000000,0.000000,0.000000
0.637701,0.001835,0.021284,0.000000,0.000000,0.000000,0.000000
0.647663,0.001704,0.014899,0.000000,0.000000,0.000000,0.000000
0.657741,0.001466,0.014899,0.000000,0.000000,0.000000,0.000000
0.668180,0.001467,0.020220,0.000000,0.000000,0.000000,0.000000
0.678197,0.001490,0.019156,0.000000,0.000000,0.000000,0.000000
0.688626,0.001269,0.020220,0.000000,0.000000,0.000000,0.000000
0.698315,0.001079,0.018092,0.000000,0.000000,0.000000,0.000000
0.709973,0.001117,0.021284,0.000000,0.000000,0.000000,0.000000
0.720244,0.001163,0.020220,0.000000,0.000000,0.000000,0.000000
0.730258,0.001168,0.018092,0.000000,0.000000,0.000000,0.000000
0.740632,0.001222,0.020220,0.000000,0.000000,0.000000,0.000000
0.750423,0.001206,0.018092,0.000000,0.000000,0.000000,0.000000
0.760523,0.001297,0.019156,0.000000,0.000000,0.000000,0.000000
0.771226,0.001238,0.018092,0.000000,0.000000,0.000000,0.000000
0.780678,0.001193,0.020220,0.000000,0.000000,0.000000,0.000000
0.792679,0.001320,0.020220,0.000000,0.000000,0.000000,0.000000
0.802556,0.001356,0.020220,0.000000,0.000000,0.000000,0.000000
0.812767,0.001520,0.021284,0.000000,0.000000,0.000000,0.000000
0.823403,0.001657,0.018092,0.000000,0.000000,0.000000,0.000000
0.833210,0.001791,0.020220,0.000000,0.000000,0.000000,0.000000
0.843746,0.001745,0.020220,0.000000,0.000000,0.000000,0.000000
0.853571,0.001788,0.019156,0.000000,0.000000,0.000000,0.000000
0.863789,0.001807,0.019156,0.000000,0.000000,0.000000,0.000000
0.875612,0.001786,0.019156,0.000000,0.000000,0.000000,0.000000
