Time, roll, rollr,motor right,motor left,msn1,msn2
0.014621,0.001267,0.107487,0.000000,0.000000,0.000000,0.000000
0.024303,0.002478,0.111744,0.000000,0.000000,0.000000,0.000000
0.034029,0.003734,0.113872,0.000000,0.000000,0.000000,0.000000
0.044704,0.005166,0.122386,0.000000,0.000000,0.000000,0.000000
0.054224,0.006632,0.123450,0.000000,0.000000,0.000000,0.000000
0.064389,0.008126,0.127707,0.000000,0.000000,0.000000,0.000000
0.074642,0.009681,0.129835,0.000000,0.000000,0.000000,0.000000
0.084633,0.011235,0.134092,0.000000,0.000000,0.000000,0.000000
0.096675,0.012864,0.136221,0.000000,0.000000,0.000000,0.000000
0.106392,0.014446,0.135156,0.000000,0.000000,0.000000,0.000000
0.116528,0.016170,0.139413,0.000000,0.000000,0.000000,0.000000
0.127089,0.017864,0.137285,0.000000,0.000000,0.000000,0.000000
0.137083,0.019579,0.138349,0.000000,0.000000,0.000000,0.000000
0.147557,0.021292,0.140478,0.000000,0.000000,0.000000,0.000000
0.157316,0.022900,0.137285,0.000000,0.000000,0.000000,0.000000
0.167501,0.024565,0.139413,0.000000,0.000000,0.000000,0.000000
0.179327,0.026236,0.141542,0.000000,0.000000,0.000000,0.000000
0.189371,0.027898,0.142606,0.000000,0.000000,0.000000,0.000000
0.199741,0.029496,0.139413,0.000000,0.000000,0.000000,0.000000
0.209506,0.031044,0.138349,0.000000,0.000000,0.000000,0.000000
0.219587,0.032506,0.139413,0.000000,0.000000,0.000000,0.000000
0.230150,0.034093,0.137285,0.000000,0.000000,0.000000,0.000000
0.239815,0.035627,0.138349,0.000000,0.000000,0.000000,0.000000
0.250440,0.037068,0.135156,0.000000,0.000000,0.000000,0.000000
0.262229,0.038538,0.131964,0.000000,0.000000,0.000000,0.000000
0.272435,0.039993,0.129835,0.000000,0.000000,0.000000,0.000000
0.283384,0.041447,0.131964,0.000000,0.000000,0.000000,0.000000
0.292864,0.042919,0.129835,0.000000,0.000000,0.000000,0.000000
0.303422,0.044366,0.127707,0.000000,0.000000,0.000000,0.000000
0.313144,0.045829,0.123450,0.000000,0.000000,0.000000,0.000000
0.323157,0.047254,0.117065,0.000000,0.000000,0.000000,0.000000
0.333700,0.048611,0.114936,0.000000,0.000000,0.000000,0.000000
0.345589,0.049967,0.112808,0.000000,0.000000,0.000000,0.000000
0.355960,0.051308,0.107487,0.000000,0.000000,0.000000,0.000000
0.365716,0.052590,0.102166,0.000000,0.000000,0.000000,0.000000
0.375966,0.053786,0.097909,0.000000,0.000000,0.000000,0.000000
0.386628,0.054969,0.095780,0.000000,0.000000,0.000000,0.000000
0.396636,0.056107,0.091523,0.000000,0.000000,0.000000,0.000000
0.407088,0.057199,0.085138,0.000000,0.000000,0.000000,0.000000
0.416891,0.058205,0.080881,0.000000,0.000000,0.000000,0.000000
0.428581,0.059216,0.078753,0.000000,0.000000,0.000000,0.000000
0.439203,0.060131,0.074496,0.000000,0.000000,0.000000,0.000000
0.448913,0.060918,0.069175,0.000000,0.000000,0.000000,0.000000
0.459539,0.061524,0.063853,0.000000,0.000000,0.000000,0.000000
0.469157,0.062277,0.062789,0.000000,0.000000,0.000000,0.000000
0.479452,0.062919,0.057468,0.000000,0.000000,0.000000,0.000000
0.490015,0.063482,0.053211,0.000000,0.000000,0.000000,0.000000
0.499733,0.064125,0.047890,0.000000,0.000000,0.000000,0.000000
