Time, roll, rollr,motor right,motor left,msn1,msn2
0.014441,-0.000078,0.015963,0.000000,0.000000,0.000000,0.000000
0.023779,-0.000224,0.014899,0.000000,0.000000,0.000000,0.000000
0.033478,-0.000379,0.011706,0.000000,0.000000,0.000000,0.000000
0.044305,-0.000559,0.011706,0.000000,0.000000,0.000000,0.000000
0.054387,-0.000709,0.013835,0.000000,0.000000,0.000000,0.000000
0.064581,-0.000867,0.012771,0.000000,0.000000,0.000000,0.000000
0.075117,-0.001243,0.010642,0.000000,0.000000,0.000000,0.000000
0.084624,-0.001626,0.010642,0.000000,0.000000,0.000000,0.000000
0.096803,-0.001869,0.012771,0.000000,0.000000,0.000000,0.000000
0.107100,-0.002076,0.017028,0.000000,0.000000,0.000000,0.000000
0.117071,-0.002259,0.019156,0.000000,0.000000,0.000000,0.000000
0.128253,-0.002535,0.018092,0.000000,0.000000,0.000000,0.000000
0.137828,-0.002799,0.020220,0.000000,0.000000,0.000000,0.000000
0.149107,-0.002887,0.019156,0.000000,0.000000,0.000000,0.000000
0.158790,-0.003080,0.018092,0.000000,0.000000,0.000000,0.000000
0.169445,-0.003283,0.017028,0.000000,0.000000,0.000000,0.000000
0.181762,-0.003457,0.020220,0.000000,0.000000,0.000000,0.000000
0.192133,-0.003667,0.018092,0.000000,0.000000,0.000000,0.000000
0.203076,-0.003852,0.019156,0.000000,0.000000,0.000000,0.000000
0.212521,-0.004027,0.020220,0.000000,0.000000,0.000000,0.000000
0.223201,-0.004172,0.022349,0.000000,0.000000,0.000000,0.000000
0.236761,-0.004319,0.019156,0.000000,0.000000,0.000000,0.000000
0.247768,-0.004517,0.017028,0.000000,0.000000,0.000000,0.000000
0.257730,-0.004762,0.012771,0.000000,0.000000,0.000000,0.000000
0.269552,-0.004969,0.013835,0.000000,0.000000,0.000000,0.000000
0.279929,-0.005151,0.018092,0.000000,0.000000,0.000000,0.000000
0.290021,-0.005281,0.021284,0.000000,0.000000,0.000000,0.000000
0.300557,-0.005491,0.015963,0.000000,0.000000,0.000000,0.000000
0.310580,-0.005711,0.015963,0.000000,0.000000,0.000000,0.000000
0.320680,-0.005946,0.014899,0.000000,0.000000,0.000000,0.000000
0.330789,-0.006111,0.020220,0.000000,0.000000,0.000000,0.000000
