Time, roll, rollrate, rollDesired, rollError, pitch, pitchRate, pitchDesired, pitchError, yaw, yawRate, yawDesired, yawError, throttle
1.092673,-0.0361718233204,0.365853349513,0,0.0361718233204,0.161141458969,-0.853657815531,0,-0.161141458969,-0.117659757553,1.34146228155,-0.0,0.117659757553,1.0
1.189315,-0.0814778904825,0.487804466018,0,0.0814778904825,0.346722964487,-0.670731140774,0,-0.346722964487,-0.248003942791,1.21951116504,-0.0,0.248003942791,1.0
1.285835,-0.141375235715,0.426828907765,0,0.141375235715,0.508577199954,-0.731706699026,0,-0.508577199954,-0.377147430557,1.34146228155,-0.0,0.377147430557,1.0
1.383412,-0.193691519752,0.243902233009,0,0.193691519752,0.688277214556,-0.731706699026,0,-0.688277214556,-0.507259190226,1.46341339805,-0.0,0.507259190226,1.0
1.48192,-0.177929832336,0.426828907765,0,0.177929832336,0.871173300166,-0.853657815531,0,-0.871173300166,-0.635578218468,1.2804867233,-0.0,0.635578218468,1.0
1.579864,-0.230382008748,0.426828907765,0,0.230382008748,0.922533729192,-0.731706699026,0,-0.922533729192,-0.761881355702,1.34146228155,-0.0,0.761881355702,1.0
1.677783,-0.239365678684,0.426828907765,0,0.239365678684,1.08014778454,-0.853657815531,0,-1.08014778454,-0.890237175165,1.2804867233,-0.0,0.890237175165,1.0
1.776482,-0.257942151287,0.487804466018,0,0.257942151287,1.10041948396,-0.914633373783,0,-1.10041948396,-1.01753912925,1.2804867233,-0.0,1.01753912925,1.0
1.874757,-0.287631574566,0.182926674757,0,0.287631574566,1.1232149628,-0.853657815531,0,-1.1232149628,-1.14522498603,1.4024378398,-0.0,1.14522498603,1.0
1.973708,-0.316357804187,0.243902233009,0,0.316357804187,1.15973755243,-0.975608932035,0,-1.15973755243,-1.27649480849,1.34146228155,-0.0,1.27649480849,1.0
2.072111,-0.334004960793,0.365853349513,0,0.334004960793,1.13822631177,-0.914633373783,0,-1.13822631177,-1.40557303176,1.2804867233,-0.0,1.40557303176,1.0
2.171192,-0.310378143148,0.609755582522,0,0.310378143148,1.11033839774,-0.792682257279,0,-1.11033839774,-1.53301883517,1.34146228155,-0.0,1.53301883517,1.0
2.26974,-0.335654797916,0.54878002427,0,0.335654797916,1.13009583387,-0.853657815531,0,-1.13009583387,-1.66476317306,1.2804867233,-0.0,1.66476317306,1.0
2.367872,-0.241596923606,0.304877791261,0,0.241596923606,1.16499965189,-0.853657815531,0,-1.16499965189,-1.79973484422,1.46341339805,-0.0,1.79973484422,1.0
2.465666,-0.305265036597,0.304877791261,0,0.305265036597,1.07598147733,-0.853657815531,0,-1.07598147733,-1.92726164356,1.2804867233,-0.0,1.92726164356,1.0
2.564344,-0.300103149917,0.182926674757,0,0.300103149917,1.11068344896,-0.853657815531,0,-1.11068344896,-2.05898910867,1.21951116504,-0.0,2.05898910867,1.0
2.663195,-0.323778885112,0.243902233009,0,0.323778885112,1.21157048583,-0.731706699026,0,-1.21157048583,-2.18383422225,1.21951116504,-0.0,2.18383422225,1.0
2.762113,-0.260978635884,0.365853349513,0,0.260978635884,1.14650479734,-0.914633373783,0,-1.14650479734,-2.3169798164,1.46341339805,-0.0,2.3169798164,1.0
2.85958,-0.295553180232,0.54878002427,0,0.295553180232,1.22931788207,-0.853657815531,0,-1.22931788207,-2.45181955237,1.2804867233,-0.0,2.45181955237,1.0
2.95535,-0.307681473069,0.304877791261,0,0.307681473069,1.17523658995,-0.792682257279,0,-1.17523658995,-2.56880308648,1.34146228155,-0.0,2.56880308648,1.0
3.051576,-0.288195812388,0.243902233009,0,0.288195812388,1.17605103553,-0.853657815531,0,-1.17605103553,-2.70020785945,1.4024378398,-0.0,2.70020785945,1.0
3.147937,-0.269580680912,0.426828907765,0,0.269580680912,1.17800553201,-0.792682257279,0,-1.17800553201,-2.82858414322,1.15853560679,-0.0,2.82858414322,1.0
3.244604,-0.339050821977,0.426828907765,0,0.339050821977,1.20155762287,-0.731706699026,0,-1.20155762287,-2.95990707166,1.46341339805,-0.0,2.95990707166,1.0
3.343044,-0.221733057913,0.304877791261,0,0.221733057913,1.21526325291,-0.731706699026,0,-1.21526325291,-3.09075778199,1.34146228155,-0.0,3.09075778199,1.0
3.442035,-0.297336470766,0.304877791261,0,0.297336470766,1.1698845547,-0.54878002427,0,-1.1698845547,-3.22304655319,1.2804867233,-0.0,3.22304655319,1.0
3.540375,-0.237890346607,0.243902233009,0,0.237890346607,1.15007344693,-0.792682257279,0,-1.15007344693,-3.35394681042,1.34146228155,-0.0,3.35394681042,1.0
3.639066,-0.310582542721,0.54878002427,0,0.310582542721,1.23052943702,-0.731706699026,0,-1.23052943702,-3.48258344721,1.4024378398,-0.0,3.48258344721,1.0
3.73761,-0.349994004622,0.243902233009,0,0.349994004622,1.20036529256,-0.853657815531,0,-1.20036529256,-3.61475021875,1.2804867233,-0.0,3.61475021875,1.0
3.836172,-0.379921286635,0.487804466018,0,0.379921286635,1.20812716539,-0.792682257279,0,-1.20812716539,-3.74244327492,1.34146228155,-0.0,3.74244327492,1.0
3.934359,-0.384305612186,0.487804466018,0,0.384305612186,1.21919803108,-0.731706699026,0,-1.21919803108,-3.87090205537,1.21951116504,-0.0,3.87090205537,1.0
4.033028,-0.276320960266,0.670731140774,0,0.276320960266,1.17024868451,-0.792682257279,0,-1.17024868451,-3.99905791619,1.2804867233,-0.0,3.99905791619,1.0
4.131275,-0.264984927395,0.487804466018,0,0.264984927395,1.07801511626,-0.853657815531,0,-1.07801511626,-4.1267777476,1.34146228155,-0.0,4.1267777476,1.0
4.229752,-0.276812752262,0.54878002427,0,0.276812752262,1.14043796354,-0.731706699026,0,-1.14043796354,-4.25912046509,1.34146228155,-0.0,4.25912046509,1.0
4.328496,-0.26206047861,0.54878002427,0,0.26206047861,1.18795298494,-0.975608932035,0,-1.18795298494,-4.39280392192,1.09756004854,-0.0,4.39280392192,1.0
4.42689,-0.296531754667,0.609755582522,0,0.296531754667,1.23082230961,-0.731706699026,0,-1.23082230961,-4.5204286847,1.09756004854,-0.0,4.5204286847,1.0
4.525091,-0.236608108531,0.304877791261,0,0.236608108531,1.1918276418,-0.853657815531,0,-1.1918276418,-4.64781573695,1.21951116504,-0.0,4.64781573695,1.0
