Time, roll, rollr,motor right,motor left,msn1,msn2
0.014909,-0.001355,-0.101101,0.000000,0.000000,0.000000,0.000000
0.024302,-0.002703,-0.098973,0.000000,0.000000,0.000000,0.000000
0.034096,-0.004095,-0.101101,0.000000,0.000000,0.000000,0.000000
0.045252,-0.005532,-0.097909,0.000000,0.000000,0.000000,0.000000
0.054342,-0.006933,-0.094716,0.000000,0.000000,0.000000,0.000000
0.064343,-0.008313,-0.090459,0.000000,0.000000,0.000000,0.000000
0.074950,-0.009671,-0.089395,0.000000,0.000000,0.000000,0.000000
0.084682,-0.010964,-0.083009,0.000000,0.000000,0.000000,0.000000
0.096807,-0.012209,-0.079817,0.000000,0.000000,0.000000,0.000000
0.106647,-0.013392,-0.074496,0.000000,0.000000,0.000000,0.000000
0.116808,-0.014494,-0.067046,0.000000,0.000000,0.000000,0.000000
0.127469,-0.015532,-0.059597,1.397566,1.399155,-0.002434,-0.000845
0.137399,-0.016526,-0.054275,1.401393,1.403319,0.001393,0.003319
0.147808,-0.017477,-0.050019,1.405739,1.407981,0.005739,0.007981
0.157739,-0.018346,-0.042569,1.410103,1.412593,0.010103,0.012593
0.169639,-0.019213,-0.039376,1.415457,1.418154,0.015457,0.018154
0.180375,-0.019968,-0.028734,1.420196,1.422975,0.020196,0.022975
0.190019,-0.020688,-0.025541,1.424468,1.427224,0.024468,0.027224
0.205721,-0.021280,-0.019156,1.430737,1.433235,0.030737,0.033235
0.215663,-0.021822,-0.017028,1.434222,1.436408,0.034222,0.036408
0.225861,-0.022300,-0.010642,1.437274,1.439019,0.037274,0.039019
0.236374,-0.022713,-0.003193,1.439785,1.440951,0.039785,0.040951
0.250283,-0.023074,0.000000,1.441984,1.442208,0.041984,0.042208
0.262832,-0.023418,0.004257,1.442778,1.442004,0.042778,0.042004
0.272439,-0.023732,0.008514,1.442583,1.440971,0.042583,0.040971
0.282459,-0.023983,0.013835,1.441623,1.439091,0.041623,0.039091
0.293135,-0.024263,0.017028,1.439769,1.436234,0.039769,0.036234
0.302897,-0.024471,0.021284,1.437344,1.432894,0.037344,0.032894
0.313587,-0.024605,0.028734,1.433927,1.428507,0.033927,0.028507
0.323337,-0.024688,0.034055,1.430195,1.423950,0.030195,0.023950
0.333599,-0.024806,0.030863,1.425692,1.418668,0.025692,0.018668
0.345787,-0.024835,0.040441,1.419701,1.411904,0.019701,0.011904
0.355736,-0.024790,0.046826,1.414415,1.406141,0.014415,0.006141
0.366270,-0.024709,0.050019,1.408547,1.399943,0.008547,-0.000057
0.375894,-0.024598,0.053211,1.403047,1.394315,0.003047,-0.005685
0.385911,-0.024410,0.060661,1.397309,1.388634,-0.002691,-0.011366
0.396268,-0.024160,0.067046,1.391475,1.383071,-0.008525,-0.016929
0.406158,-0.023892,0.069175,1.386108,1.378168,-0.013892,-0.021832
0.416493,-0.023594,0.072367,1.380823,1.373580,-0.019177,-0.026420
0.428327,-0.023265,0.075560,1.375331,1.369142,-0.024669,-0.030858
0.438514,-0.022882,0.081945,1.371167,1.366092,-0.028833,-0.033908
0.448865,-0.022438,0.088331,1.367573,1.363805,-0.032427,-0.036195
0.458794,-0.021962,0.090459,1.364797,1.362424,-0.035203,-0.037576
0.469357,-0.021496,0.089395,1.362615,1.361849,-0.037385,-0.038151
0.479206,-0.020994,0.092588,1.361331,1.362150,-0.038669,-0.037850
0.489399,-0.020437,0.096844,1.360785,1.363296,-0.039215,-0.036704
0.499712,-0.019858,0.098973,1.361046,1.365287,-0.038954,-0.034713
0.511684,-0.019231,0.105358,1.362346,1.368563,-0.037654,-0.031437
0.521869,-0.018600,0.104294,1.364275,1.372120,-0.035725,-0.027880
0.531780,-0.017966,0.105358,1.366813,1.376141,-0.033187,-0.023859
0.541843,-0.017339,0.103230,1.370017,1.380730,-0.029983,-0.019270
0.552464,-0.016665,0.109615,1.373989,1.385991,-0.026011,-0.014009
0.562336,-0.016063,0.104294,1.378144,1.391161,-0.021856,-0.008839
0.572676,-0.015224,0.087266,1.382904,1.396778,-0.017096,-0.003222
0.582685,-0.014629,0.101101,1.387790,1.402272,-0.012210,0.002272
0.594903,-0.013706,0.138349,1.394013,1.408928,-0.005987,0.008928
0.605180,-0.013647,0.054275,1.399346,1.414355,-0.000654,0.014355
0.615039,-0.013131,0.079817,1.404461,1.419330,0.004461,0.019330
0.625346,-0.012184,0.121322,1.409689,1.424178,0.009689,0.024178
0.635089,-0.011939,0.045762,1.414448,1.428368,0.014448,0.028368
0.645102,-0.012576,-0.013835,1.419098,1.432236,0.019098,0.032236
0.655560,-0.012968,-0.032991,1.423600,1.435732,0.023600,0.035732
0.665236,-0.013754,-0.046826,1.427402,1.438453,0.027402,0.038453
0.677378,-0.015105,-0.088331,1.431607,1.441136,0.031607,0.041136
0.686964,-0.017603,-0.201138,1.434461,1.442684,0.034461,0.042684
0.697385,-0.018780,-0.142606,1.437075,1.443807,0.037075,0.043807
0.707853,-0.020886,-0.177725,1.439172,1.444368,0.039172,0.044368
0.717717,-0.024672,-0.328845,1.440679,1.444415,0.040679,0.044415
0.728116,-0.029446,-0.465066,1.441785,1.444003,0.041785,0.044003
0.737926,-0.034708,-0.565103,1.442406,1.443232,0.042406,0.043232
0.748048,-0.042215,-0.702388,1.442653,1.442099,0.042653,0.042099
0.758454,-0.051344,-0.958866,1.442534,1.440639,0.042534,0.040639
0.768161,-0.064486,-1.277069,1.442129,1.439072,0.042129,0.039072
0.778741,-0.081646,-1.730429,1.441424,1.437199,0.041424,0.037199
0.788471,-0.100669,-1.896448,1.440584,1.435380,0.040584,0.035380
0.798576,-0.119274,-1.850686,1.439576,1.433449,0.039576,0.033449
0.809018,-0.143720,-2.454101,1.438446,1.431458,0.038446,0.031458
0.818860,-0.170380,-2.641405,1.437348,1.429623,0.037348,0.029623
0.831161,-0.204048,-3.318251,1.436006,1.427443,0.036006,0.027443
0.840758,-0.232261,-2.868084,1.435021,1.425845,0.035021,0.025845
0.850810,-0.265559,-3.352306,1.434090,1.424293,0.034090,0.024293
0.861449,-0.304580,-3.873776,1.433249,1.422801,0.033249,0.022801
0.871114,-0.338639,-3.406582,1.432611,1.421536,0.032611,0.021536
0.881616,-0.381944,-4.295209,1.432089,1.420293,0.032089,0.020293
0.891390,-0.420069,-3.817372,1.431760,1.419241,0.031760,0.019241
0.901740,-0.464925,-4.436751,1.431559,1.418173,0.031559,0.018173
0.914456,-0.507853,-4.272860,1.431507,1.416925,0.031507,0.016925
0.924247,-0.549459,-4.161117,1.431585,1.415965,0.031585,0.015965
0.934979,-0.585639,-3.575793,1.431753,1.414876,0.031753,0.014876
0.944851,-0.640252,-5.406259,1.431948,1.413804,0.031948,0.013804
0.954975,-0.672933,-3.302288,1.432151,1.412605,0.032151,0.012605
0.965425,-0.707331,-3.390618,1.432320,1.411229,0.032320,0.011229
0.975397,-0.751435,-4.413338,1.432402,1.409757,0.032402,0.009757
0.986010,-0.795582,-4.368641,1.432359,1.408005,0.032359,0.008005
0.998090,-0.838915,-4.352677,1.432095,1.405764,0.032095,0.005764
1.008084,-0.878596,-3.931244,1.431661,1.403697,0.031661,0.003697
1.018577,-0.910177,-3.120306,1.430965,1.401337,0.030965,0.001337
1.028556,-0.952429,-4.253704,1.430053,1.398921,0.030053,-0.001079
1.043919,-0.980177,-2.772304,1.428142,1.394932,0.028142,-0.005068
1.052848,-1.011204,-3.076672,1.426748,1.392505,0.026748,-0.007495
1.063293,-1.050652,-3.901446,1.424836,1.389574,0.024836,-0.010426
1.073032,-1.085808,-3.543867,1.422806,1.386819,0.022806,-0.013181
1.085210,-1.116335,-3.064966,1.419973,1.383418,0.019973,-0.016582
1.095577,-1.160485,-4.430366,1.417321,1.380600,0.017321,-0.019400
1.105436,-1.186969,-2.662689,1.414639,1.378049,0.014639,-0.021951
1.115750,-1.225519,-3.841850,1.411710,1.375563,0.011710,-0.024437
1.126145,-1.250686,-2.481771,1.408673,1.373290,0.008673,-0.026710
1.135915,-1.289779,-3.884419,1.405790,1.371410,0.005790,-0.028590
1.146387,-1.316372,-2.638212,1.402735,1.369715,0.002735,-0.030285
1.156205,-1.342267,-2.554138,1.399947,1.368450,-0.000053,-0.031550
1.168253,-1.371742,-2.970250,1.396707,1.367362,-0.003293,-0.032638
1.178525,-1.402374,-3.026654,1.394147,1.366848,-0.005853,-0.033152
1.188223,-1.429169,-2.709515,1.391959,1.366719,-0.008041,-0.033281
1.198853,-1.455534,-2.588193,1.389853,1.366967,-0.010147,-0.033033
1.208695,-1.487877,-3.259719,1.388212,1.367543,-0.011788,-0.032457
1.218715,-1.516566,-2.881919,1.386873,1.368447,-0.013127,-0.031553
1.229500,-1.536513,-1.953916,1.385840,1.369716,-0.014160,-0.030284
1.241406,-1.566261,-2.973443,1.385161,1.371480,-0.014839,-0.028520
1.251750,-1.589782,-2.313624,1.384996,1.373233,-0.015004,-0.026767
1.261543,-1.619913,-2.992599,1.385191,1.375007,-0.014809,-0.024993
1.271753,-1.639251,-1.895383,1.385739,1.376939,-0.014261,-0.023061
1.282420,-1.667441,-2.822323,1.386654,1.378968,-0.013346,-0.021032
1.292275,-1.692168,-2.424303,1.387780,1.380799,-0.012220,-0.019201
1.302630,-1.711163,-1.862392,1.389209,1.382613,-0.010791,-0.017387
1.312561,-1.737231,-2.626505,1.390772,1.384193,-0.009228,-0.015807
1.323346,-1.756773,-1.924117,1.392588,1.385647,-0.007412,-0.014353
1.333362,-1.778713,-2.197623,1.394421,1.386774,-0.005579,-0.013226
1.343285,-1.800045,-2.120999,1.396241,1.387581,-0.003759,-0.012419
1.353693,-1.819828,-1.939017,1.398117,1.388083,-0.001883,-0.011917
1.363457,-1.839890,-2.026283,1.399796,1.388217,-0.000204,-0.011783
1.373714,-1.856859,-1.662318,1.401425,1.387993,0.001425,-0.012007
1.417248,-1.871787,-1.456923,1.405667,1.383076,0.005667,-0.016924
1.427245,-1.887365,-1.514391,1.405849,1.381167,0.005849,-0.018833
1.439475,-1.899856,-1.221729,1.405611,1.378559,0.005611,-0.021441
1.449254,-1.911415,-1.123821,1.405050,1.376297,0.005050,-0.023703
1.459479,-1.923894,-1.236629,1.404118,1.373834,0.004118,-0.026166
1.470047,-1.935514,-1.123821,1.402795,1.371239,0.002795,-0.028761
1.479826,-1.946618,-1.087637,1.401265,1.368849,0.001265,-0.031151
1.490392,-1.955934,-0.892884,1.399312,1.366342,-0.000688,-0.033658
1.500215,-1.966329,-1.026976,1.397248,1.364128,-0.002752,-0.035872
1.512010,-1.972748,-0.610865,1.394513,1.361696,-0.005487,-0.038304
1.522782,-1.979733,-0.703452,1.391798,1.359720,-0.008202,-0.040280
1.532480,-1.987694,-0.786462,1.389237,1.358195,-0.010763,-0.041805
