Time, roll, rollr,motor right,motor left,msn1,msn2
0.014763,0.000296,0.012771,0.000000,0.000000,0.000000,0.000000
0.024234,0.000667,0.013835,0.000000,0.000000,0.000000,0.000000
0.034073,0.001126,0.011706,0.000000,0.000000,0.000000,0.000000
0.046114,0.001587,0.012771,0.000000,0.000000,0.000000,0.000000
0.054502,0.002024,0.011706,0.000000,0.000000,0.000000,0.000000
0.064935,0.002443,0.008514,0.000000,0.000000,0.000000,0.000000
0.075474,0.002695,0.007450,0.000000,0.000000,0.000000,0.000000
0.085418,0.002994,0.009578,0.000000,0.000000,0.000000,0.000000
0.097403,0.003329,0.006385,0.000000,0.000000,0.000000,0.000000
0.107257,0.003673,0.007450,0.000000,0.000000,0.000000,0.000000
0.117593,0.004015,0.006385,0.000000,0.000000,0.000000,0.000000
0.128110,0.004319,0.004257,0.000000,0.000000,0.000000,0.000000
0.137696,0.004585,0.002128,0.000000,0.000000,0.000000,0.000000
0.148134,0.004889,0.004257,0.000000,0.000000,0.000000,0.000000
0.157948,0.005130,0.003193,0.000000,0.000000,0.000000,0.000000
0.168222,0.005331,0.005321,0.000000,0.000000,0.000000,0.000000
0.180369,0.005585,0.009578,0.000000,0.000000,0.000000,0.000000
0.190463,0.005803,0.003193,0.000000,0.000000,0.000000,0.000000
0.201058,0.006008,0.004257,0.000000,0.000000,0.000000,0.000000
0.210741,0.006274,0.006385,0.000000,0.000000,0.000000,0.000000
0.221147,0.006469,0.007450,0.000000,0.000000,0.000000,0.000000
0.231703,0.006733,0.007450,0.000000,0.000000,0.000000,0.000000
0.241676,0.007066,0.009578,0.000000,0.000000,0.000000,0.000000
0.251868,0.007282,0.005321,0.000000,0.000000,0.000000,0.000000
0.263608,0.007587,0.008514,0.000000,0.000000,0.000000,0.000000
0.273951,0.007848,0.003193,0.000000,0.000000,0.000000,0.000000
0.284335,0.008191,0.007450,0.000000,0.000000,0.000000,0.000000
0.294341,0.008403,0.007450,0.000000,0.000000,0.000000,0.000000
0.304890,0.008719,0.008514,0.000000,0.000000,0.000000,0.000000
0.314455,0.009025,0.006385,0.000000,0.000000,0.000000,0.000000
0.324889,0.009332,0.008514,0.000000,0.000000,0.000000,0.000000
0.335235,0.009499,0.005321,0.000000,0.000000,0.000000,0.000000
0.346689,0.009670,0.005321,0.000000,0.000000,0.000000,0.000000
0.357323,0.009931,0.007450,0.000000,0.000000,0.000000,0.000000
0.367163,0.010110,0.005321,0.000000,0.000000,0.000000,0.000000
0.377324,0.010435,0.011706,0.000000,0.000000,0.000000,0.000000
0.387745,0.010691,0.009578,0.000000,0.000000,0.000000,0.000000
0.397644,0.010917,0.009578,0.000000,0.000000,0.000000,0.000000
0.441001,0.011194,0.017028,0.000000,0.000000,0.000000,0.000000
0.451171,0.011535,0.019156,0.000000,0.000000,0.000000,0.000000
0.463066,0.011923,0.019156,0.000000,0.000000,0.000000,0.000000
0.473594,0.012295,0.018092,0.000000,0.000000,0.000000,0.000000
0.483577,0.012616,0.020220,0.000000,0.000000,0.000000,0.000000
0.493941,0.013011,0.018092,0.000000,0.000000,0.000000,0.000000
0.503816,0.013393,0.015963,0.000000,0.000000,0.000000,0.000000
0.514050,0.013722,0.019156,0.000000,0.000000,0.000000,0.000000
0.524363,0.014117,0.019156,0.000000,0.000000,0.000000,0.000000
0.534273,0.014529,0.018092,0.000000,0.000000,0.000000,0.000000
0.546295,0.014863,0.019156,0.000000,0.000000,0.000000,0.000000
0.556348,0.015285,0.023413,0.000000,0.000000,0.000000,0.000000
0.566888,0.015642,0.021284,0.000000,0.000000,0.000000,0.000000
0.577136,0.016077,0.022349,0.000000,0.000000,0.000000,0.000000
0.586801,0.016440,0.021284,0.000000,0.000000,0.000000,0.000000
0.597288,0.016834,0.023413,0.000000,0.000000,0.000000,0.000000
0.607088,0.017143,0.022349,0.000000,0.000000,0.000000,0.000000
0.617193,0.017570,0.025541,0.000000,0.000000,0.000000,0.000000
0.627894,0.017875,0.025541,0.000000,0.000000,0.000000,0.000000
0.640107,0.018216,0.026606,0.000000,0.000000,0.000000,0.000000
0.651119,0.018569,0.024477,0.000000,0.000000,0.000000,0.000000
0.661128,0.018869,0.028734,0.000000,0.000000,0.000000,0.000000
0.670946,0.019294,0.026606,0.000000,0.000000,0.000000,0.000000
0.681480,0.019709,0.028734,0.000000,0.000000,0.000000,0.000000
0.691790,0.020180,0.027670,0.000000,0.000000,0.000000,0.000000
0.702317,0.020658,0.026606,0.000000,0.000000,0.000000,0.000000
0.712078,0.021183,0.030863,0.000000,0.000000,0.000000,0.000000
0.723990,0.021611,0.027670,0.000000,0.000000,0.000000,0.000000
0.734431,0.022060,0.028734,0.000000,0.000000,0.000000,0.000000
0.744288,0.022477,0.029798,0.000000,0.000000,0.000000,0.000000
0.754721,0.022893,0.029798,0.000000,0.000000,0.000000,0.000000
0.764570,0.023252,0.025541,0.000000,0.000000,0.000000,0.000000
0.775055,0.023769,0.027670,0.000000,0.000000,0.000000,0.000000
0.785411,0.024199,0.027670,0.000000,0.000000,0.000000,0.000000
0.794980,0.024689,0.026606,0.000000,0.000000,0.000000,0.000000
0.807258,0.025191,0.028734,0.000000,0.000000,0.000000,0.000000
0.817047,0.025549,0.026606,0.000000,0.000000,0.000000,0.000000
0.827533,0.025911,0.031927,0.000000,0.000000,0.000000,0.000000
0.838016,0.026321,0.026606,0.000000,0.000000,0.000000,0.000000
0.847669,0.026715,0.025541,0.000000,0.000000,0.000000,0.000000
0.858288,0.027033,0.028734,0.000000,0.000000,0.000000,0.000000
0.869438,0.027357,0.028734,0.000000,0.000000,0.000000,0.000000
0.878498,0.027702,0.026606,0.000000,0.000000,0.000000,0.000000
0.891083,0.027860,0.025541,0.000000,0.000000,0.000000,0.000000
0.901382,0.028228,0.026606,0.000000,0.000000,0.000000,0.000000
0.911820,0.028549,0.028734,0.000000,0.000000,0.000000,0.000000
0.921646,0.028802,0.023413,0.000000,0.000000,0.000000,0.000000
0.932251,0.029094,0.027670,0.000000,0.000000,0.000000,0.000000
0.943068,0.029387,0.028734,0.000000,0.000000,0.000000,0.000000
0.952571,0.029736,0.024477,0.000000,0.000000,0.000000,0.000000
0.963247,0.030074,0.020220,0.000000,0.000000,0.000000,0.000000
0.975349,0.030677,0.022349,0.000000,0.000000,0.000000,0.000000
0.985898,0.031072,0.021284,0.000000,0.000000,0.000000,0.000000
0.996261,0.031489,0.023413,0.000000,0.000000,0.000000,0.000000
1.005932,0.031887,0.027670,0.000000,0.000000,0.000000,0.000000
1.016365,0.032216,0.021284,0.000000,0.000000,0.000000,0.000000
1.026155,0.032608,0.019156,0.000000,0.000000,0.000000,0.000000
1.036360,0.032806,0.019156,0.000000,0.000000,0.000000,0.000000
1.047845,0.032985,0.019156,0.000000,0.000000,0.000000,0.000000
1.069966,0.033145,0.018092,0.000000,0.000000,0.000000,0.000000
1.080662,0.032981,0.014899,0.000000,0.000000,0.000000,0.000000
1.090358,0.032800,0.013835,0.000000,0.000000,0.000000,0.000000
1.100429,0.033064,0.017028,0.000000,0.000000,0.000000,0.000000
